ID,Bug Line,Explanation
16,1,Incorrect usage related to mode for editing vectors at runtime.
32,2,"Incorrect usage related to rdi.port(TA::MULTI_PORT).func()
This function allows multi-port labels to be combined to form a new burst. It is used for
dynamic mode in the func() class only.Multi-port burst with .port(TA::MULTI_PORT)."
25,1,"Incorrect usage related to rdi.protocol().write()
Writes a piece of data on a specified address at runtime."
10,2,"Incorrect usage related to Reads the actual measured humidity of the selected PMUX card from the hardware and
stores it into a software cache.."
26,4,"Incorrect usage related to rdi.dc().addWaveform()
Adds one or more waveforms in an execute() operation.
This function supports digital cards and DC Scale cards (PMU and DPS operating
modes).."
23,25,Incorrect usage related to  burstUpload will help to reduce the result uploading time. The results of multiple smartVec read commands.
4,3,Incorrect usage related to method order of arguments.
31,2,"Incorrect usage related to rdi.func().burstRunTime()
Creates an empty burst label and specifies the maximum number of labels to be
patched.
SmartRDI uses this function to generate an empty burst label and then applies the
firmware command SQPG to patch the burst content."
17,8,Incorrect usage related to getting the first fail vector..
27,2,"Incorrect usage related to rdi.dc().iMeasRange()
Specifies a current measurement range.SmartRDI will check the time between iMeasRange() and the next event on the pin. ."
24,3,"Incorrect usage related to Generating a new digital capture pattern
with SmartRDI.Digital capture without hidden upload."
14,7,Incorrect usage related to Getting alarm DC results on specific pins.
9,3,Incorrect usage related to System-reserved waiting in cogo.
13,3,"Incorrect usage related to Hidden upload in CCTestMethod_ISR
The code example below describes how to use the hidden upload feature in."
22,3,Incorrect usage related to reading the temperature alarm threshold of the selected PMUX card.
29,4,Incorrect usage related to Retrieves the status of a pmux switch in both online mode and offline mode.rdi.route().retrievePmuxPinStatus().
2,3,Incorrect usage related to Specification of AVI64.
20,1,"Incorrect usage related to local control over the ""burst site upload"" capacity for digital capture results."
11,2,"Incorrect usage related to Specifies the number of samples used to do the averaging when the measurement
instrument is board ADC. The result of the measurement is averaged.
For accuracy considerations, refer to member function number of samples() of API
PPMU_PIN_MEASURE.."
3,4,Incorrect usage related to Specification of AVI64.
